Starting training for bert-large-cased...
{'loss': '0.003799', 'grad_norm': '0.1781', 'learning_rate': '7.099e-06', 'epoch': '1.292'}
{'loss': '0.01042', 'grad_norm': '0.0005909', 'learning_rate': '6.876e-06', 'epoch': '1.315'}
{'loss': '0.01914', 'grad_norm': '0.001242', 'learning_rate': '6.653e-06', 'epoch': '1.337'}
{'loss': '0.009297', 'grad_norm': '0.001944', 'learning_rate': '6.43e-06', 'epoch': '1.359'}
{'loss': '4.84e-05', 'grad_norm': '0.001553', 'learning_rate': '6.208e-06', 'epoch': '1.381'}
{'loss': '0.01729', 'grad_norm': '0.01644', 'learning_rate': '5.985e-06', 'epoch': '1.404'}
{'loss': '0.004931', 'grad_norm': '38.16', 'learning_rate': '5.762e-06', 'epoch': '1.426'}
{'loss': '0.005007', 'grad_norm': '0.003441', 'learning_rate': '5.539e-06', 'epoch': '1.448'}
{'loss': '0.02614', 'grad_norm': '0.001689', 'learning_rate': '5.316e-06', 'epoch': '1.471'}
{'loss': '0.000176', 'grad_norm': '0.002448', 'learning_rate': '5.094e-06', 'epoch': '1.493'}
{'loss': '0.004002', 'grad_norm': '0.001373', 'learning_rate': '4.871e-06', 'epoch': '1.515'}
{'loss': '4.083e-05', 'grad_norm': '0.001489', 'learning_rate': '4.648e-06', 'epoch': '1.537'}
{'loss': '0.01762', 'grad_norm': '0.002866', 'learning_rate': '4.425e-06', 'epoch': '1.56'}
{'loss': '0.007831', 'grad_norm': '0.07056', 'learning_rate': '4.202e-06', 'epoch': '1.582'}
{'loss': '0.01182', 'grad_norm': '10.44', 'learning_rate': '3.98e-06', 'epoch': '1.604'}
{'loss': '0.00778', 'grad_norm': '0.001501', 'learning_rate': '3.757e-06', 'epoch': '1.627'}
{'loss': '0.004415', 'grad_norm': '0.003546', 'learning_rate': '3.534e-06', 'epoch': '1.649'}
{'loss': '0.0001492', 'grad_norm': '0.0007476', 'learning_rate': '3.311e-06', 'epoch': '1.671'}
{'loss': '0.004819', 'grad_norm': '0.001153', 'learning_rate': '3.088e-06', 'epoch': '1.693'}
{'loss': '0.001396', 'grad_norm': '0.001902', 'learning_rate': '2.865e-06', 'epoch': '1.716'}
{'loss': '0.001006', 'grad_norm': '0.001287', 'learning_rate': '2.643e-06', 'epoch': '1.738'}
{'loss': '4.622e-05', 'grad_norm': '0.0005006', 'learning_rate': '2.42e-06', 'epoch': '1.76'}
{'loss': '0.0009162', 'grad_norm': '0.0005342', 'learning_rate': '2.197e-06', 'epoch': '1.783'}
{'loss': '0.007502', 'grad_norm': '0.01062', 'learning_rate': '1.974e-06', 'epoch': '1.805'}
{'loss': '0.01189', 'grad_norm': '0.0008314', 'learning_rate': '1.751e-06', 'epoch': '1.827'}
{'loss': '0.003898', 'grad_norm': '0.04196', 'learning_rate': '1.529e-06', 'epoch': '1.849'}
{'loss': '4.224e-05', 'grad_norm': '0.00102', 'learning_rate': '1.306e-06', 'epoch': '1.872'}
{'loss': '0.006105', 'grad_norm': '0.0009087', 'learning_rate': '1.083e-06', 'epoch': '1.894'}
{'loss': '0.002311', 'grad_norm': '0.0009909', 'learning_rate': '8.601e-07', 'epoch': '1.916'}
{'loss': '0.0003104', 'grad_norm': '0.005056', 'learning_rate': '6.373e-07', 'epoch': '1.939'}
{'loss': '0.009706', 'grad_norm': '0.006418', 'learning_rate': '4.144e-07', 'epoch': '1.961'}
{'loss': '0.005987', 'grad_norm': '0.001855', 'learning_rate': '1.916e-07', 'epoch': '1.983'}
{'eval_loss': '0.01915', 'eval_runtime': '36.2', 'eval_samples_per_second': '247.9', 'eval_steps_per_second': '15.5', 'epoch': '2'}
{'train_runtime': '1032', 'train_samples_per_second': '69.55', 'train_steps_per_second': '4.348', 'train_loss': '0.0254', 'epoch': '2'}
Evaluation Results for bert-large-cased: {'eval_loss': 0.019148970022797585, 'eval_runtime': 36.3706, 'eval_samples_per_second': 246.738, 'eval_steps_per_second': 15.425, 'epoch': 2.0}
ROC-AUC for bert-large-cased: 0.9998927403638304
