Starting training for bert-base-cased...
{'loss': '7.281e-05', 'grad_norm': '0.008582', 'learning_rate': '7.094e-06', 'epoch': '1.292'}
{'loss': '0.001486', 'grad_norm': '0.001445', 'learning_rate': '6.872e-06', 'epoch': '1.315'}
{'loss': '0.02637', 'grad_norm': '0.002364', 'learning_rate': '6.649e-06', 'epoch': '1.337'}
{'loss': '0.0005947', 'grad_norm': '6.709', 'learning_rate': '6.426e-06', 'epoch': '1.359'}
{'loss': '0.002964', 'grad_norm': '0.001358', 'learning_rate': '6.203e-06', 'epoch': '1.381'}
{'loss': '0.01036', 'grad_norm': '0.004553', 'learning_rate': '5.98e-06', 'epoch': '1.404'}
{'loss': '0.008328', 'grad_norm': '0.007309', 'learning_rate': '5.758e-06', 'epoch': '1.426'}
{'loss': '0.0004776', 'grad_norm': '0.00773', 'learning_rate': '5.535e-06', 'epoch': '1.448'}
{'loss': '0.002913', 'grad_norm': '0.001975', 'learning_rate': '5.312e-06', 'epoch': '1.471'}
{'loss': '0.008256', 'grad_norm': '0.006835', 'learning_rate': '5.089e-06', 'epoch': '1.493'}
{'loss': '8.291e-05', 'grad_norm': '0.001057', 'learning_rate': '4.866e-06', 'epoch': '1.515'}
{'loss': '0.01311', 'grad_norm': '0.003912', 'learning_rate': '4.643e-06', 'epoch': '1.537'}
{'loss': '0.01941', 'grad_norm': '0.007198', 'learning_rate': '4.421e-06', 'epoch': '1.56'}
{'loss': '0.0001131', 'grad_norm': '0.01286', 'learning_rate': '4.198e-06', 'epoch': '1.582'}
{'loss': '0.02484', 'grad_norm': '0.02792', 'learning_rate': '3.975e-06', 'epoch': '1.604'}
{'loss': '0.00402', 'grad_norm': '0.004487', 'learning_rate': '3.752e-06', 'epoch': '1.627'}
{'loss': '0.0003144', 'grad_norm': '0.001303', 'learning_rate': '3.529e-06', 'epoch': '1.649'}
{'loss': '5.621e-05', 'grad_norm': '0.001166', 'learning_rate': '3.307e-06', 'epoch': '1.671'}
{'loss': '0.008172', 'grad_norm': '0.001952', 'learning_rate': '3.084e-06', 'epoch': '1.693'}
{'loss': '0.0001747', 'grad_norm': '0.00483', 'learning_rate': '2.861e-06', 'epoch': '1.716'}
{'loss': '7.326e-05', 'grad_norm': '0.00164', 'learning_rate': '2.638e-06', 'epoch': '1.738'}
{'loss': '0.01107', 'grad_norm': '0.001152', 'learning_rate': '2.415e-06', 'epoch': '1.76'}
{'loss': '0.001778', 'grad_norm': '0.001656', 'learning_rate': '2.193e-06', 'epoch': '1.783'}
{'loss': '8.898e-05', 'grad_norm': '0.01546', 'learning_rate': '1.97e-06', 'epoch': '1.805'}
{'loss': '0.01225', 'grad_norm': '0.001865', 'learning_rate': '1.747e-06', 'epoch': '1.827'}
{'loss': '0.001265', 'grad_norm': '0.001859', 'learning_rate': '1.524e-06', 'epoch': '1.849'}
{'loss': '5.076e-05', 'grad_norm': '0.001087', 'learning_rate': '1.301e-06', 'epoch': '1.872'}
{'loss': '0.01287', 'grad_norm': '0.00435', 'learning_rate': '1.078e-06', 'epoch': '1.894'}
{'loss': '0.0123', 'grad_norm': '0.007489', 'learning_rate': '8.556e-07', 'epoch': '1.916'}
{'loss': '0.0001105', 'grad_norm': '0.01859', 'learning_rate': '6.328e-07', 'epoch': '1.939'}
{'loss': '0.005427', 'grad_norm': '0.00765', 'learning_rate': '4.1e-07', 'epoch': '1.961'}
{'loss': '0.01025', 'grad_norm': '0.00326', 'learning_rate': '1.872e-07', 'epoch': '1.983'}
{'eval_loss': '0.0279', 'eval_runtime': '16.89', 'eval_samples_per_second': '531.3', 'eval_steps_per_second': '33.21', 'epoch': '2'}
{'train_runtime': '413', 'train_samples_per_second': '173.8', 'train_steps_per_second': '10.87', 'train_loss': '0.02681', 'epoch': '2'}
Evaluation Results for bert-base-cased: {'eval_loss': 0.027895966544747353, 'eval_runtime': 17.452, 'eval_samples_per_second': 514.21, 'eval_steps_per_second': 32.145, 'epoch': 2.0}
ROC-AUC for bert-base-cased: 0.9998782980509981
